image_id,side,top_ratio,vertical_span,density,texture_std,green_saturation,green_dominant_ratio,grass_px
1008889955635626,left,0.4951,0.4748,0.1028,26.59,0.439,0.8901,281420
1045168061140704,left,0.5351,0.4975,0.1147,35.65,0.4519,0.8073,314003
1055448070102819,left,0.4911,0.4042,0.0585,17.95,0.377,0.6704,160128
1056069086705088,left,0.5005,0.4674,0.0975,22.62,0.44,0.9428,266735
1061897109426260,left,0.5301,0.5025,0.1578,38.67,0.424,0.8123,431944
1071336918472021,left,0.5361,0.4965,0.1437,25.86,0.5413,0.8195,393294
1110095851142186,left,0.5183,0.4822,0.1318,30.32,0.5625,0.9403,360625
1114309697382267,left,0.4916,0.459,0.0569,26.63,0.2784,0.9437,155778
1133639458707324,left,0.4906,0.2456,0.1032,33.57,0.3661,0.2653,282388
1135389745190695,left,0.5035,0.4605,0.096,28.61,0.4658,0.8827,262800
1140620187979882,left,0.5148,0.4891,0.1423,26.2,0.425,0.7836,389313
1142393844638307,left,0.5321,0.4965,0.1025,30.0,0.3905,0.7799,280515
1153001913380843,left,0.4956,0.4704,0.1158,23.75,0.4257,0.8889,316920
1162798089012270,left,0.4995,0.457,0.135,28.17,0.4318,0.8786,369546
1163408215620456,left,0.5173,0.2856,0.1119,17.92,0.4891,0.9753,306084
1165943888734077,left,0.4837,0.4032,0.069,26.82,0.4513,0.785,188837
1171938791419175,left,0.496,0.4541,0.0586,25.67,0.2838,0.8856,160308
1173969511565177,left,0.5109,0.3043,0.0959,28.27,0.4945,0.8456,262557
1175049168042736,left,0.4812,0.4476,0.1154,18.99,0.3286,0.6218,315715
1175291678091752,left,0.6201,0.5929,0.0929,28.97,0.55,0.6795,254195
1176552691129952,left,0.5539,0.5109,0.0994,41.75,0.5283,0.8642,272026
1176623484496491,left,0.5677,0.5331,0.1875,29.36,0.375,0.5432,513050
1179609510641120,left,0.504,0.4081,0.2223,24.43,0.3462,0.5133,608426
1181803960363422,left,0.4768,0.1907,0.0255,39.09,0.3333,0.5268,69760
1187018473600045,left,0.5296,0.4995,0.1147,27.75,0.3269,0.7241,313870
1188461000025104,left,0.4827,0.4471,0.0476,27.45,0.3256,0.727,130166
1189586202905981,left,0.6665,0.6349,0.1891,26.13,0.4459,0.5143,517492
1190229803225178,left,0.4901,0.462,0.0999,31.35,0.4331,0.6307,273249
1192324733072700,left,0.6077,0.5632,0.0836,37.03,0.4309,0.6666,228686
1192386179628801,left,0.5094,0.4723,0.1274,19.85,0.5119,0.8964,348660
1192615593033672,left,1.0,0.96,0.1167,21.74,0.4722,0.9373,319436
1193907106267199,left,0.4763,0.4545,0.1034,28.35,0.3824,0.537,283062
1194122639370727,left,0.5178,0.4906,0.0606,33.02,0.4727,0.8506,165920
